beatmap_id,beatmapset_id,ar,title,artist,creator,version,old_beatmap_id
196,87,5,VS,misono,Donryu,Normal,fb099ade581d16f3a69926ccf8f2cf7a
188,28,5,AM11:00,HY,tsububu,Normal,ee52b4c498a29478b73fb4f17a456458
220,36,5,Vertigo,U2,eyup,,2640b14cd553e1b4e8b0ac6ecd47b412
221,100,6,Song 2,Blur,JacoPOP,,44618ee1fcb9dacfffc0830496f81f2d
161,71,7,Lydia,F.I.R.,fruit,,6fe20189b2f4ef5bfecf69d11810a49d
123,43,9,Timebomb,Beck,IcePagoda,Normal,2da8624939e768bc27445ff7627814d5
116,38,7,One Thing,Amerie,Chan,Normal,6f995a6bb9c7af50bd893f248206ff75
132,48,5,Smile,Lily Allen,meyou22,Normal,49b69c5e2e1c928707989af089430c73
186,82,6,Numb,Linkin Park,fruit,,4451cfbaa62488b97ee07bd58d95f8ff
167,73,5,BOYS & GIRLS,LM.C,Donryu,Normal,54f731c8b32c1c5ce35764973e8c1e79
324,84,5,D.A.N.C.E,Justice,caelus,,9912def545fe57e61dc0f5aad31eb3d9
193,85,4,Cross Time,Brandy,FFFanatic,Hard,3dd9f2278628fc7baa3f828f752ba273
86,23,2,Pop Star,Ken Hirai,Chan,,bfe8f7ccd03253bf36d7faabd61be2e0
207,92,5,Still Alive,Portal,Hitoshirenu Shourai,Easy,f57367f4b8a696bcc77433d98f4ebe08
208,92,5,Still Alive,Portal,Hitoshirenu Shourai,Normal,2162a03014f463b708605b81098bcb5e
119,16,5,Love Fighter,Brandy,FFFanatic,,5b00851555cf4c8e895210dcd871f1bb
180,80,2,Sakuranbo,Ai Otsuka,Echo49,Easy,1605e41688976f212e4e1ea08fc4daf4
181,80,6,Sakuranbo,Ai Otsuka,Echo49,Hard,e4282588493ffe72f3476916424edd6f
182,80,8,Sakuranbo,Ai Otsuka,Echo49,Normal,2b2beeaff4f65eb12a4f72d78fe0f217
304,89,3,Bad,Michael Jackson,Loginer,Easy,f0dc376fc1a1855861b4b20f8e7de99b
305,89,5,Bad,Michael Jackson,Loginer,Hard,a2e5e0cc16fe087456da37ab649f7a68
80,18,4,Scatman,Scatman John,Extor,Insane,ea43709e1e9056879e59860b286895be
94,29,3,Emoticons,Hinoi Team,MCXD,Breezin,cf8bd375f2708f152562a919247ba09a
95,29,4,Emoticons,Hinoi Team,MCXD,Crusin,90789138c7b1d6081315f3f264a1e7b4
96,29,7,Emoticons,Hinoi Team,MCXD,Hardrock,1bdabfa397ccd5af413ed22647bec2dd
97,29,6,Emoticons,Hinoi Team,MCXD,Sweatin,629d1b14925ed15dd5f9292b00ef2786
127,46,3,Aishiteru,Hinoi Team,MCXD,Breezin,dd44ebba58f125b2be48b0345e56fca7
128,46,4,Aishiteru,Hinoi Team,MCXD,Crusin,f457792fcc72f1388963dbbe24b22c8a
129,46,7,Aishiteru,Hinoi Team,MCXD,Hardrock,3ce8eb2ba90eadd3e31493cb9d40fb76
130,46,6,Aishiteru,Hinoi Team,MCXD,Sweatin,5b8c9eeebc1b3af1535c684bdacf5340
